Question Number,Question,Option A,Option B,Option C,Option D,Option E,correct_indices
44,"Let $U = \{1, 2, 3, 4, 5, 6\}$ be the universal set and $A = \{1, 3, 5\}$, find $A'$.","$\{2, 4, 6\}$","$\{1, 3, 5\}$","$\{1, 2, 3, 4, 5, 6\}$",$\emptyset$,None of the above,0
45,"Let the universal set $U = \{1, ..., 10\}$, $A = \{1, 2, 3, 4\}$, $B = \{2, 4, 6, 8\}$ and $C = \{3, 4, 5, 6\}$. Determine $A \cup B$.","$\{1, 2, 3, 4, 6, 8\}$","$\{2, 4\}$","$\{1, 3\}$","$\{6, 8\}$",None of the above,0
46,"Let the universal set $U = \{1, ..., 10\}$, $A = \{1, 2, 3, 4\}$, $B = \{2, 4, 6, 8\}$ and $C = \{3, 4, 5, 6\}$. Determine $A \cap C$.","$\{3, 4\}$","$\{1, 2, 5, 6\}$","$\{1, 2, 3, 4, 5, 6\}$","$\{1, 2\}$",None of the above,0
47,"Let the universal set $U = \{1, ..., 10\}$, $A = \{1, 2, 3, 4\}$, $B = \{2, 4, 6, 8\}$ and $C = \{3, 4, 5, 6\}$. Determine $B'$.","$\{1, 3, 5, 7, 9, 10\}$","$\{2, 4, 6, 8\}$","$\{1, 2, ..., 10\}$",$\emptyset$,None of the above,0
48,"Let the universal set $U = \{1, ..., 10\}$, $A = \{1, 2, 3, 4\}$, $B = \{2, 4, 6, 8\}$ and $C = \{3, 4, 5, 6\}$. Determine $A \cup B \cup C$.","$\{1, 2, 3, 4, 5, 6, 8\}$",$\{4\}$,"$\{1, 2, 3, 4\}$","$\{2, 4, 6, 8\}$",None of the above,0
49,"Let the universal set $U = \{1, ..., 10\}$, $A = \{1, 2, 3, 4\}$, $B = \{2, 4, 6, 8\}$ and $C = \{3, 4, 5, 6\}$. Determine $A \cap B \cap C$.",$\{4\}$,"$\{1, 2, 3, 4, 5, 6, 8\}$",$\emptyset$,"$\{2, 3, 4, 6\}$",None of the above,0
50,"Let the universal set $U = \{1, ..., 10\}$, $A = \{1, 2, 3, 4\}$, $B = \{2, 4, 6, 8\}$ and $C = \{3, 4, 5, 6\}$. Determine $(A \cup B) \cap C$.","$\{3, 4, 6\}$","$\{1, 2, 3, 4, 6, 8\}$","$\{2, 4, 5, 6\}$","$\{1, 2, 3, 4, 5, 6\}$",None of the above,0
51,"Let the universal set $U = \{1, ..., 10\}$, $A = \{1, 2, 3, 4\}$, $B = \{2, 4, 6, 8\}$ and $C = \{3, 4, 5, 6\}$. Determine $(A \cap B) \cup C$.","$\{2, 3, 4, 5, 6\}$","$\{2, 4\}$","$\{1, 2, 3, 4, 5, 6, 8\}$",$\{4\}$,None of the above,0
52,"Let the universal set $U = \{1, ..., 10\}$, $A = \{1, 2, 3, 4\}$, $B = \{2, 4, 6, 8\}$ and $C = \{3, 4, 5, 6\}$. Determine $(A \cup B)'$.","$\{5, 7, 9, 10\}$","$\{1, 2, 3, 4, 6, 8\}$","$\{1, 3, 5, 7, 9, 10\}$","$\{2, 4, 6, 8, 3, 5\}$",None of the above,0
53,What is difference of sets?,The difference of sets A and B is the set that consists of all elements in A that are not in B.,The difference of sets A and B is the set that consists of only element in A and B,The difference of sets A and B is the set that involves all elements in A and B,All of the above,None of the above,0
54,"Given set $A = \{1, 2, 3, 4, 5\}$ and $B = \{2, 4, 6\}$, find $A - B$","$\{1, 3, 5\}$",$\{6\}$,"$\{2, 4\}$","$\{1, 2, 3, 4, 5, 6\}$",None of the above,0
55,"Given set $P = \{a, b, c, d\}$ and $Q = \{b, d, e, f\}$, find $Q - P$","$\{e, f\}$","$\{a, c\}$","$\{b, d\}$","$\{a, b, c, d, e, f\}$",None of the above,0
56,"Given set $A = \{1, 2, 3, 4, 5\}$ and $B = \{2, 4, 6\}$, find $B - A$",$\{6\}$,"$\{1, 3, 5\}$","$\{2, 4\}$","$\{1, 2, 3, 4, 5, 6\}$",None of the above,0
57,"Given set $P = \{a, b, c, d\}$ and $Q = \{b, d, e, f\}$, find $P - Q$","$\{a, c\}$","$\{e, f\}$","$\{b, d\}$","$\{a, b, c, d, e, f\}$",None of the above,0
58,"If $A=\{1,2,3\}, B=\{2,3,4\}, C=\{1,3,4\}$, find $A \cup (B \cap C)$","$\{1, 2, 3, 4\}$",$\{3\}$,"$\{1, 2, 3\}$","$\{2, 3, 4, 1\}$",None of the above,0
59,"If $A=\{1,2,3\}, B=\{2,3,4\}, C=\{1,3,4\}$, find $A \cap (B \cup C)$","$\{1, 2, 3\}$","$\{1, 2, 3, 4\}$","$\{2, 3, 4\}$","$\{1, 3, 4\}$",None of the above,0
60,"If $A=\{1,2,3\}, B=\{2,3,4\}, C=\{1,3,4\}$, find $A - (B \cup C)$",$\emptyset$,"$\{1, 2, 3, 4\}$",$\{1\}$,"$\{2, 3\}$",None of the above,0
61,"If $A=\{1,2,3\}, B=\{2,3,4\}, C=\{1,3,4\}$, find $A - (B \cap C)$","$\{1, 2\}$",$\{3\}$,"$\{1, 2, 3\}$",$\{4\}$,None of the above,0
62,"If $A=\{1,2,3\}, B=\{2,3,4\}, C=\{1,3,4\}$, find $(A - B) \cup (A - C)$","$\{1, 2\}$",$\{1\}$,$\{2\}$,"$\{1, 2, 3\}$",None of the above,0
63,"If $A=\{1,2,3\}, B=\{2,3,4\}, C=\{1,3,4\}$, find $(A \cup B) - (A \cap B)$","$\{1, 4\}$","$\{1, 2, 3, 4\}$","$\{2, 3\}$",$\emptyset$,None of the above,0
64,"If $A=\{1,2,3\}, B=\{2,3,4\}, C=\{1,3,4\}$, find $A \Delta B$","$\{1, 4\}$","$\{1, 2, 3, 4\}$","$\{2, 3\}$",$\emptyset$,None of the above,0
65,"If $A=\{1,2,3\}, B=\{2,3,4\}, C=\{1,3,4\}$, find $(A \cup B) - C$",$\{2\}$,"$\{1, 2, 3, 4\}$","$\{1, 3, 4\}$",$\{4\}$,None of the above,0
66,"Given that $U=\{a,b,c,d,e,f\}, A=\{a,b,c\}, B=\{b,c,d\}$. Find the set D in $D = A \cap B$","$\{b, c\}$","$\{a, b, c, d\}$","$\{a, d\}$","$\{e, f\}$",None of the above,0
67,"Given that $U=\{a,b,c,d,e,f\}, A=\{a,b,c\}, C=\{d,e,f\}$. Find the set D in $D = A \cap C$",Null set,"$\{a, b, c, d, e, f\}$","$\{a, d\}$","$\{b, e\}$",None of the above,0
6ax,"Given that $U=\{a,b,c,d,e,f\}, A=\{a,b,c\}, B=\{b,c,d\}$. Find the set D in $D = A \cup B$","$\{a, b, c, d\}$","$\{b, c\}$","$\{e, f\}$",Null set,None of the above,0
69,"Given that $U=\{a,b,c,d,e,f\}, A=\{a,b,c\}$. Find the set D in $D = A \cup A'$",U,A,A',Null set,None of the above,0
70,Which of the following is not correct?,$A \cup (B \cap C) = (A \cup B) \cap (A \cup C)$,$A \cap (B \cup C) = (A \cap B) \cup (A \cap C)$,$(A \cup B)' = A' \cup B'$,All of the above,None of the above,2
71,When is a set Q said to be indempotent?,When $Q \cup Q = Q$ and $Q \cap Q = Q$,When $Q \cup \emptyset = Q$,When $Q \cup U = U$,When $Q \cap Q' = \emptyset$,None of the above,0
72,Which of the following is not correct?,$A \cup B = B \cup A$,$A \cap B = B \cap A$,$A \cup (B \cup C) = (A \cup B) \cup C$,$A \cup B = A \cap B$,None of the above,3
73,"In a certain gathering of 400 students, 60% of them like MTH 112 while 77% of them like MTH 110. How many students like both MTH 112 and MTH 110?",74 students,148 students,222 students,296 students,None of the above,1
74,"In a certain gathering of 400 students, 60% of them like MTH 112 while 77% of them like MTH 110. How many students like MTH 110 only?",40 students,80 students,120 students,160 students,None of the above,3
75,"In a certain gathering of 400 students, 60% of them like MTH 112 while 77% of them like MTH 110. How many students like MTH 112 only?",23 students,46 students,92 students,112 students,None of the above,2
76,"Find the 15th term and the sum of the first 26 terms of the series 21, 17, 13, 9, 5, ...",-35 and 754,-35 and 754,-35 and -754,-754 and -35,None of the above,2
77,Find the sum of the first 6 terms of the series $1/2 + 1/3 + ...$ [Equation],13.48,121.5,135.4,141.1,None of the above,-1
78,"If the 7th and 10th terms of a G.P are 320 and 2560 respectively, find the series.","1, 5, 12, 15, 18, ...","5, 10, 20, 40, ...","5, 10, 15, 20, 25, ...","1, 5, 10, 20, 30, ...",None of the above,1
79,Find the sum of the first 10 terms of the series of natural numbers.,10,35,45,55,None of the above,3
80,Find the sum of the first 10 terms of the series of squares of natural numbers.,55,145,285,385,None of the above,3
81,Find the sum of the first 10 terms of the series of cubes of natural numbers,1055,2505,3025,4550,None of the above,2
82,When is the series $\sum ar^{n-1}$ said to converge?,if $|r| < 1$,if $|r| > 1$,if $|r| = 1$,if $r=0$,None of the above,0
83,When is the series $\sum ar^{n-1}$ said to diverge?,if $|r| < 1$,if $|r| > 1$,if $|r| = 1$,if $r=0$,None of the above,1
84,The following series $1 + 1/2 + 1/3 + 1/4 + ...$ is,Convergent series,Divergent series,Harmonic series,All of the above,None of the above (it is the Harmonic series and it is divergent),1
85,Examine the region of convergent of the series $\sum (x^n/n)$,$|x| < 1$,$|x| > 1$,$|x| = 1$,$|x| \le 1$,None of the above,0
86,Find the range of the values of x for which the following series is absolutely convergent: $x - x²/2 + x³/3 - ...$,$|x| < 1$,$|x| > 1$,$|x| = 1$,$|x| \le 1$,None of the above,0
87,Find the interval of convergent for which the following series is absolutely convergent: $\sum (x-2)^n/n$,$1 \le x < 3$,$1 < x < 3$,$1 < x \le 3$,$1 \le x \le 3$,None of the above,1
88,Solve $\log_x 32 = 5$,x = 2,x = 3,x = 4,x = 5,None of the above,0
89,Solve $\log_3 (x+1) = 2$,x = 7,x = 8,x = 9,x = 10,None of the above,1
90,Solve $\log_2 (x²-1) = \log_2 8$,x = 3,x = -3,x = ±3,x = 4,None of the above,2
91,Solve $\log_{10} 2 + \log_{10} 5$,$\log_{10} 7$,$\log_{10} 10$,$\log_{10} 2.5$,$\log_{10} 3$,None of the above,1
92,Solve $2\log x = \log 36$,x = 4,x = 5,x = 6,x = 7,None of the above,2
93,Solve $\log 8 / \log 4$,$\log 2$,$2/3$,$3/2$,$1/2$,None of the above,2
94,Solve $2^{x+1} = 8$,x = 1,x = 2,x = 3,x = 4,None of the above,1
95,Which of the following is correct?,$\log_b (MN) = \log_b M + \log_b N$,$\log_b (M+N) = \log_b M * \log_b N$,$\log_b (M/N) = \log_b M / \log_b N$,None of the above,,0
96,Express $(2x+1)/((x-1)(x+3))$ in partial fractions,$3/4(x-1) + 5/4(x+3)$,$3/4(x-1) + 5/4(x+3)$,$-1/4(x-1) - 7/4(x+3)$,$3/(4(x-1)) + 5/(4(x+3))$,None of the above,-1
97,Express $(x+5)/(x^2-1)$ in partial fractions,$3/(x-1) - 2/(x+1)$,$3/(x-1) + 2/(x+1)$,$-3/(x-1) + 2/(x+1)$,$-3/(x-1) - 2/(x+1)$,None of the above,0
98,Express $x/(x²+1)(x-1)$ in partial fractions,$[Equation]$,$[Equation]$,$[Equation]$,$[Equation]$,None of the above,-1
99,Express $(x-1)/((x+1)(x+2)²)$ in partial fractions,$[Equation]$,$[Equation]$,$[Equation]$,$[Equation]$,None of the above,-1
100,Find x if $\log_3 x + \log_3 (x-6) = \log_3 16$,x = 8 or x = -2,x = 8,x = -2,x = 4,None of the above,1
101,Evaluate $\sum_{r=1}^{5} (2r)$ for the following sequence $U_r = 2r$,5(2-r),30,25,15,None of the above,1
102,"The sum of the first n terms of a series is given as $S_n = n(n+1)$ for all values of n, find the formula for the rth term",$U_r = 2r$,$U_r = r+1$,$U_r = r(r+1)$,$U_r = 2r-1$,None of the above,0
103,Find the three arithmetic means between -5 and 59.,27,32,"11, 27, 43","27, 32, 37",None of the above,2
104,"The second term of a geometric sequence is 24 and the fifth term is 81, find the seventh term.",729,$729/4$,36,72,None of the above,1
105,Evaluate $1 + 1/2 + 1/4 + 1/8 + ...$,1,$3/2$,2,$5/2$,None of the above,2
106,"The third term of an arithmetic progression is 18 and the seventh term is 30, find the sum of the first thirty three terms",1890,720,1980,1800,None of the above,2
107,Express $(x²+1)/((x-1)(x-2)(x-3))$ into partial fraction,$[Equation]$,$[Equation]$,$[Equation]$,$[Equation]$,None of the above.,-1
108,The operation * on the set of real numbers is defined by $a*b = ab + a - b$. Find the value of x such that $x*3 = 7$,$5/2$,2,4,5,None of the above,0
109,Find x if $2^{2x} - 5(2^x) + 4 = 0$,x=0 or x=2,x=1 or x=2,x=0 or x=1,x=-1 or x=-2,None of the above,0
110,Find the limit of the following series if it converges: $1/3 + 1/9 + 1/27 + ...$,$1/3$,$1/2$,$2/3$,$1$,None of the above,1
111,The first term of an arithmetic sequence is 7 and the last term is 70 and the sum is 385. Find the common difference,7,10,15,20,None of the above,0
112,"Draw a Venn diagram...Given that n(XnYnZ)=3, n(XnY)=8, n(XnZ)=4, n(YnZ)=5, n(X only)=6, n(Y only)=2, n(Z only)=4. Find n(X U Y U Z).",23,37,28,20,None of the above,0
113,"In a survey of 150 outpatients...80 complained of fever F, 70 had stomach trouble S and 40 were injured I. All 150 patients had one or other of these complaints and 28 had exactly two of them. How many patients had all three complaints.",15,9,8,6,None of the above,3
114,In how many ways can the letters of the word CALCULUS be arranged?,10080,4020,5040,5000,None of the above,2
115,The series $1 + 1/2^p + 1/3^p + ...$ is,divergent,convergent,a p-series,inductive,None of the above,2
116,"Given that $\sin A = 3/5$ and A is obtuse, evaluate $\cos 2A$.$7/25$""",$-7/25$,$24/25$,$-24/25$,None of the above,0,
117,Find the range of the values of x if $|x-2| < 3$,$-1 < x < 5$,$x < -1$ or $x > 5$,$x < 5$,$x > -1$,None of the above,0
118,"Given that $\alpha$ and $\beta$ are the roots of $ax^2+bx+c=0$, obtain the value of $1/\alpha + 1/\beta$ in terms of a, b and c.",$-b/c$,$-c/b$,$b/c$,$c/a$,None of the above,0
119,Solve $x^{2/3} - x^{1/3} - 2 = 0$,x=8 or x=-1,x=8,x=-1,x=4 or x=1,None of the above,0
120,"Suppose A, B, C, D, E are constants. A possible method of resolving $f(x)/((x-a)(x-b)²(x²+c))$ into parts is....",$A/(x-a) + B/(x-b) + C/(x-b)² + (Dx+E)/(x²+c)$,$A/(x-a) + B/(x-b) + C/(x-b)² + D/(x²+c)$,$A/(x-a) + B/(x-b) + (Cx+D)/(x²+c)$,$A/(x-a) + (Bx+C)/(x-b)² + (Dx+E)/(x²+c)$,None of the above,0
121,Resolve $(x-1)/((x+1)(x-2))$ into partial fractions,$2/3(x+1) + 1/3(x-2)$,$1/3(x+1) + 2/3(x-2)$,$-2/3(x+1) + 1/3(x-2)$,$2/3(x+1) - 1/3(x-2)$,None of the above,0
122,Express $1/((x-1)(x²+1))$ in partial fractions.,$1/2(x-1) - (x+1)/2(x²+1)$,$1/2(x-1) + (x+1)/2(x²+1)$,$-1/2(x-1) - (x+1)/2(x²+1)$,$1/(x-1) - 1/(x²+1)$,None of the above,0
123,Resolve $(x+1)/(x(x-1)²)$ into partial fraction,$1/x - 1/(x-1) + 2/(x-1)²$,$1/x + 1/(x-1) - 2/(x-1)²$,$-1/x - 1/(x-1) + 2/(x-1)²$,$-1/x + 1/(x-1) - 2/(x-1)²$,None of the above,0
124,Resolve $(2x-1)/((x-1)(x-2)(x-3))$ into partial fractions,$1/2(x-1) - 3/(x-2) + 5/2(x-3)$,$-1/2(x-1) + 3/(x-2) - 5/2(x-3)$,$1/(x-1) - 3/(x-2) + 5/(x-3)$,$1/2(x-1) + 3/(x-2) + 5/2(x-3)$,None of the above,0
125,Find the range of the values of x for which $|2x+3| \le 5$,$-4 \le x \le 1$,$x \le -4$ or $x \ge 1$,$x \le 1$,$x \ge -4$,None of the above,0
126,"Given that $\sin A = 3/5$ and $\cos B = 5/13$, evaluate $\cos(A+B)$ when A and B are both obtuse.",$33/65$,$-33/65$,$56/65$,$-56/65$,None of the above,0
127,Which of the following sets is not closed under the operation of subtraction?,the set of non-positive integers,the set of real numbers,the set of rational numbers,the set of integers,None of the above,-1
128,Express $(\sin 2x)/(1+\cos 2x)$ in its simplest form.,$\tan x$,$\cot x$,$\sec x$,$\sin x$,None of the above,0
129,Evaluate $\lim_{x\to 2} (x²-4)/(x-2)$,0,2,4,8,None of the above,2
130,Simplify $(\sin x + \sin y) / (\cos x + \cos y)$,$\tan((x+y)/2)$,$\cot((x+y)/2)$,$\tan(x+y)$,$\cot(x+y)$,None of the above,0
131,"If $a_r = \log_{10} r$, find $\sum_{r=1}^{10} a_r$",55,$\log_{10} 55$,10!,$\log_{10} 10!$,None of the above,3
132,Find the values of a for which $x²+(a-2)x - (a-6) = 0$ has equal roots,a = 0 or a = 8,a = 8 or a = -2,a = 0 or a = -8,a = -8 or a = -2,None of the above,-1
133,"Given $z_1 = 1+i$ and $z_2 = \sqrt{3}+i$, the angle of $z_1 z_2$ is",$75^\circ$,$15^\circ$,$60^\circ$,$45^\circ$,None of the above,0
134,Express $\sin^4 x$ in terms of multiple of angles,$3/8 - 1/2 \cos 2x + 1/8 \cos 4x$,$3/8 + 1/2 \cos 2x + 1/8 \cos 4x$,$1/2 \cos 2x - 1/8 \cos 4x$,$3/8 - 1/2 \sin 2x + 1/8 \sin 4x$,None of the above,0
135,Find the values of $\alpha$ for which the roots of the equation $x² - 2x + \alpha = 0$ are real.,$\alpha \le 1$,$\alpha \ge 1$,$\alpha < 1$,$\alpha > 1$,None of the above,0
136,"If m and n are the roots of the equation $x²-6x+k=0$ and $3m+2n=20$, find the possible values of k.",k = -8 or k = 8,k = 0 or k = 8,k = -8,k = 16,None of the above,3
137,"If $\alpha$ and $\beta$ are the roots of the equation $x²-3x+1=0$, find the equation whose roots are $1/\alpha, 1/\beta$.",$x²-3x+1=0$,$x²+3x+1=0$,$x²-x+3=0$,$3x²-x+1=0$,None of the above,0
138,Express $-1+i$ in the form $r(\cos \theta + i \sin \theta)$,$\sqrt{2}(\cos 135^\circ + i \sin 135^\circ)$,$\sqrt{2}(\cos 45^\circ + i \sin 45^\circ)$,$\sqrt{2}(\cos 225^\circ + i \sin 225^\circ)$,$\sqrt{2}(\cos 315^\circ + i \sin 315^\circ)$,None of the above,0
139,The product of a complex number and its conjugate will yield.,a complex number,an imaginary number,a real number,a complex conjugate number,None of the above,2
140,"Evaluate $C(10,4)$",210,248,254,244,None of the above,0
141,Which of the following is/are correct? (i)... (ii)... (iii)...(iv),(i) and (ii),(ii) and (iv),(i) and (iii),"(i), (iii) and (iv)","(ii), (iii) and (iv)",2
142,"Given that the sum of the first n terms of a series is $2n² - n$, find the nth term",$2n² + 4n - 3$,2(n+1),$S_n - S_{n-1}$,$4n - 3$,None of the above,3
143,Find the sum of the first n terms of the arithmetic series: 3 + 7 + 11 + 15 + ...,$2n² + n$,$4n - 1$,$n² + 2n$,$n - 1$,None of the above,0
144,The sum of the first 15th terms of an Arithmetic Progression (AP) is 495 and the sum of the next 8 terms is 540. What is the common difference of the AP?,$5/3$,3,12,3,None of the above,-1
145,The following properties/laws applies to Binary operations except,De-Morgan,Commutative,Distributive,Associative,None of the above,0
146,"The number of subsets possible within the set A={1,2,3,4,5,6,7,8,9,10} is?",1024,20,2048,32,None of the above,0
147,Which of these operations is valid?,$^nC_r / ^nP_r$,$^nP_r / ^nC_r$,$^nP_r * r!$,$^nC_r = ^nP_r / r!$,None of the above,3
148,"Given that U = {1, ..., 10}, the elements of the subsets A={x : x is a prime number} are ____","{2, 3, 5, 7}","{3,4, 5,...,10}","{2, 4, 6, 8, 10}","{1, 2,...,8}",None of the above,0
149,"List the elements of P = {x : 10 < x < 18, x is even}.","P = {9, 11, 13, 15, 17}","P = {11, 13, 15}","P = {10, 12, 14, 16, 18}","P = {12, 14, 16}",None of the above,3
150,The operation * is defined by $p*q = p+q+pq$ and the operation $\Delta$ is defined by $p \Delta q = p+q-2$. Which of these two operations is commutative...,operation *,operation $\Delta$,both,None,None of the above,2
151,"In a certain gathering of 60 students, 36 students like Economics while 28 students like History. If 8 students do not like any of the two subjects, how many students like both subjects",12,6,4,16,None of the above,0
152,Find the possible values of $\tan(x/2)$ when $\tan x = 7/24$,$1/7$ or $-7$,$-1/4$ or $7/3$,$1/4$ or $7/3$,$-1/4$ or $-7/3$,None of the above,-1
153,"Given the identity $x²/((x-1)(x-2)(x-3)) = A/(x-1) + B/(x-2) + C/(x-3)$ find the values of A, B and C.","1/2, -4, 9/2","1, 7, 4","1, 4, 7","4, 1, 7",None of the above,0
154,"If $\tan(x+45) = 2$, find, without using tables, the values of $\tan x$",3-Jan,3-Feb,3-Apr,2-Jan,None of the above,0
155,Resolve $1/(x(x+1))$ into partial fractions,$1/x - 1/(x+1)$,$1/x + 1/(x+1)$,$-1/x - 1/(x+1)$,$-1/x + 1/(x+1)$,None of the above,0
156,Express $\cos 105^\circ$ in surd form without using tables.,$(\sqrt{2}-\sqrt{6})/4$,$(\sqrt{6}-\sqrt{2})/4$,$(\sqrt{2}+\sqrt{6})/4$,$-(\sqrt{2}+\sqrt{6})/4$,None of the above,0
157,Resolve $(x+1)/(x(x²+1))$ into partial fractions,$1/x - (x-1)/(x²+1)$,$1/x + (x-1)/(x²+1)$,$-1/x + (x-1)/(x²+1)$,$1/x - (x+1)/(x²+1)$,None of the above,0
158,Solve $2\sin²x - 3\sin x + 1 = 0$ for $0 \le x \le 360^\circ$,"$x = 90^\circ, 30^\circ, 150^\circ$","$x = 90^\circ, 30^\circ$","$x = 30^\circ, 150^\circ$",$x = 90^\circ$,None of the above,0
159,Use De-Moivre's theorem to expand $\sin 3x$,$3\sin x - 4\sin³x$,$4\sin³x - 3\sin x$,$3\cos x - 4\cos³x$,$4\cos³x - 3\cos x$,None of the above,0
160,Write down the first 4 terms of in the expansion of $(1-x)^{1/2}$,$1 - x/2 - x²/8 - x³/16$,$1 + x/2 - x²/8 + x³/16$,$1 - x/2 + x²/8 - x³/16$,$1 + x/2 + x²/8 + x³/16$,None of the above,0
161,Solve $x² - 2x + 2 = 0$ for which x is a real number.,$1 \pm i$,$1 \pm i/\sqrt{2}$,"1, 2",no solution,None of the above,3
162,"In a certain gathering of 60 students, 36 students like Economics while 28 students like History. If 8 students do not like any of the two subjects, how many students like Economics only",24,28,12,20,None of the above,0
